,user,tweet text,compound,positive,negative,neutral,tweets back
13,CNN,"A pro-Trump group has hired Carl Higbie, who shared an N-Word laden post written by someone else on Facebook in 201… https://t.co/KXnx2TqAZe",0.34,0.107,0.0,0.893,14
14,CNN,"Saudi Arabia will develop nuclear weapons if Iran does the same, said Crown Prince Mohammed bin Salman, Saudi's def… https://t.co/MLHmQAELbx",-0.4404,0.0,0.132,0.868,15
15,CNN,"On Saturday, 1.7 million South Australians will vote in what many are describing as the most exciting electoral rac… https://t.co/LvVsumtxAW",0.5413,0.155,0.0,0.845,16
16,CNN,"""Is there anything in the litany of accusations -- you would call them facts -- that surround this case that happen… https://t.co/LL9FHkK0iI",-0.3182,0.0,0.099,0.901,17
17,CNN,.@jaketapper: Can we pause and consider the notion that — as the country waits in suspense to see who President Tru… https://t.co/O1gHTQ9PEv,0.0,0.0,0.0,1.0,18
18,CNN,"RT @TheLeadCNN: ""Is there anything in the litany of accusations -- you would call them facts -- that surround this case that happened while…",-0.3182,0.0,0.091,0.909,19
19,CNN,"Tapper: You say your client, Stormy Daniels, felt “physically threatened” to stay silent about what she knew about… https://t.co/eAj46BO7cx",0.0,0.0,0.0,1.0,20
20,CNN,Lyft tests a $199 monthly subscription plan for rides https://t.co/BEk43Na2Ve https://t.co/EsZqc4qTQW,0.0,0.0,0.0,1.0,21
21,CNN,RT @CNNPolitics: Attorney Michael Avenatti says his client Stormy Daniels will reveal details about her claim that she was physically threa…,0.0,0.0,0.0,1.0,22
22,CNN,"As rumors of yet another staff shakeup loom over the White House, chief of staff John Kelly and White House officia… https://t.co/E6RIeBLZxf",-0.3612,0.0,0.149,0.851,23
23,CNN,Two US representatives have introduced a bill that would put quarters featuring prominent women from American histo… https://t.co/9F3bJ9Dm0s,0.3182,0.126,0.0,0.874,24
24,CNN,RT @TheLeadCNN: .@jaketapper: Can we pause and consider the notion that — as the country waits in suspense to see who President Trump will…,0.0,0.0,0.0,1.0,25
25,CNN,"Secretary of State Rex Tillerson thanked agency staff and called his service at the State Department ""one of the gr… https://t.co/hYYJ0uqOuM",0.4404,0.127,0.0,0.873,26
26,CNN,"Following a New York helicopter crash in which five passengers died, the FAA has ordered no more ""doors-off"" aircra… https://t.co/ktg6BfwbHq",-0.8176,0.0,0.347,0.653,27
27,CNN,President Trump's staffing upheavals come in spurts | Analysis by CNN's Sam Petulla https://t.co/7pjZKe1H6F https://t.co/knFbMFqr8v,0.0,0.0,0.0,1.0,28
28,CNN,"The US government has accused Russia of remotely targeting the US power grid, as part of its newly unveiled sanctio… https://t.co/7yE2m1r4Vp",-0.296,0.0,0.099,0.901,29
29,CNN,Facebook has apologized after its autocomplete search feature suggested video titles that described child abuse… https://t.co/EgQJDGvKjT,0.3182,0.133,0.0,0.867,30
30,CNN,National Geographic has more work to do on race | By Kerra Bolton via @CNNOpinion https://t.co/9CNskmP6J1 https://t.co/dYUfPJVHNa,0.0,0.0,0.0,1.0,31
31,CNN,This officer missed the Florida bridge collapse by seconds as she stopped at a red light. When she realized what ha… https://t.co/Hulr6hhwUI,-0.743,0.0,0.289,0.711,32
32,CNN,Wells Fargo's CEO got a 36% raise after one of the darkest years in the bank's history https://t.co/iTLDmdcbFr https://t.co/3Dwu5O2BTD,-0.296,0.094,0.151,0.755,33
33,CNN,Sean Hannity jabs Shep Smith in a sign of the divide between Fox News' opinion programming and the news division… https://t.co/H6nhnEquf4,0.0,0.0,0.0,1.0,34
34,CNN,"On school safety, inaction is not an option, says @BetsyDeVos; Even those who have disagreed in the past must now w… https://t.co/fhLHsSDoiL",-0.128,0.107,0.165,0.728,35
35,CNN,Nearly two-thirds of Americans are concerned they can no longer distinguish fake news from quality journalism online https://t.co/QNP3dU1FPo,-0.6486,0.0,0.249,0.751,36
36,CNN,RT @CNNPolitics: Sanders declines to get into details of US preparation for a meeting with North Korean leader Kim Jong Un: “We’re continui…,0.0,0.0,0.0,1.0,37
37,CNN,A custodian at a school in South Carolina stole $180 from students' book bags while they participated in the Nation… https://t.co/dAXFL649tc,0.0,0.0,0.0,1.0,38
38,CNN,"White House press secretary Sarah Sanders: ""We're highly confident and certainly very excited"" about the nomination… https://t.co/MIfaEZwKHj",0.8338,0.387,0.0,0.613,39
39,CNN,Press secretary Sarah Sanders says chief of staff John Kelly spoke with White House staffers and assured them that… https://t.co/0Kqi4cQmhe,0.3612,0.116,0.0,0.884,40
40,CNN,Snapchat lost $800 million after Rihanna tore into the company for allowing an offensive ad to appear on its app… https://t.co/MYLmZ4f8iJ,-0.6486,0.0,0.218,0.782,41
41,CNN,"President Trump's pick for the UN migration job regularly pushed anti-Muslim sentiment, including claims that Musli… https://t.co/J0Pj3bydYy",0.0,0.0,0.0,1.0,42
42,CNN,Women who work for Goldman Sachs in the United Kingdom are paid 56% less on average than their male colleagues https://t.co/c5x74bVPA7,0.4215,0.123,0.0,0.877,43
43,CNN,"Toys ""R"" Us may be closing up shop, but several independent local toy store owners say they're doing just fine… https://t.co/KeqB6KBQjK",0.0,0.0,0.0,1.0,44
44,CNN,A murder investigation has been launched into the death of Russian businessman Nikolai Glushkov following the resul… https://t.co/kbbHqmuwrB,-0.8442,0.062,0.357,0.581,45
45,CNN,Terrifying video shows people being violently thrown into the air after a ski lift malfunctioned… https://t.co/ag2Rehy3mi,-0.8176,0.0,0.366,0.634,46
46,CNN,Here's how you can watch and stream every single NCAA tournament game live #MarchMadness https://t.co/exH5spjR98 https://t.co/hixzXnAOkH,0.0,0.0,0.0,1.0,47
47,CNN,"Microsoft fired roughly 20 employees for sexual harassment complaints filed in the course of a single year, accordi… https://t.co/voaQ3ujytX",-0.8689,0.0,0.395,0.605,48
48,CNN,"RT @CNNnewsroom: ""Vladimir Putin is flexing his muscle around the world. It's somewhat disturbing to hear that his popularity is at an all…",0.024,0.114,0.111,0.775,49
49,CNN,"An Alabama lawmaker says he's against arming teachers because most are women and ""are scared of guns""… https://t.co/h9v7zmvOxt",-0.4404,0.0,0.146,0.854,50
50,CNN,She was the first person in her family to go to college. Now she’s been appointed to a statewide committee in Calif… https://t.co/C8oT8EkAST,0.0,0.0,0.0,1.0,51
51,CNN,"Bollywood star Irrfan Khan, best known in the US for roles in ""Life Of Pi,"" ""Slumdog Millionaire"" and ""The Amazing… https://t.co/0ZpFYZp0Ph",0.6369,0.174,0.0,0.826,52
52,CNN,"If you're planning to fly with your dog, here are @CNNTravel's tips on how to do it safely https://t.co/28NYWEshnQ",0.4939,0.151,0.0,0.849,53
53,CNN,"UK's top diplomat Boris Johnson says it is ""overwhelmingly likely"" that Russian President Vladimir Putin personally… https://t.co/WYHXyg46ND",0.0772,0.098,0.082,0.82,54
54,CNN,"GOP Sen. Jeff Flake in New Hampshire: ""I hope that someone does run the Republican primary, somebody to challenge t… https://t.co/srcecvhZX4",0.4939,0.181,0.0,0.819,55
55,CNN,RT @CNNPhotos: The week in 35 photos: https://t.co/jAex4xBPw1 https://t.co/VrC8YsilLE,0.0,0.0,0.0,1.0,56
56,CNN,Two people were killed and three more were injured in a car ramming attack on Friday afternoon in the northern West… https://t.co/cma1vy6g9R,-0.8905,0.0,0.37,0.63,57
57,CNN,"Clarissa is about to explain it all again.

Melissa Joan Hart, who starred in the hit Nickelodeon series ""Clarissa… https://t.co/uykJA9aOOw",0.0,0.0,0.0,1.0,58
58,CNN,The European Union has published a long list of American products it could target if President Trump moves forward… https://t.co/nFFV1dnZe8,0.0,0.0,0.0,1.0,59
59,CNN,Snapchat lost $800 million after Rihanna tore into the company for allowing an offensive ad to appear on its app… https://t.co/cLiXFmqjtv,-0.6486,0.0,0.218,0.782,60
60,CNN,"Next month, Spotify will begin trading on the New York Stock Exchange with a public debut unlike any other.

Execs… https://t.co/Fzk4WqSHkK",0.0,0.0,0.0,1.0,61
61,CNN,"RT @CNNnewsroom: Democratic Rep. David Cicilline: ""This is a President who will criticize virtually anybody... But somehow he can't find it…",-0.3818,0.0,0.12,0.88,62
62,CNN,"The lawyer representing Stormy Daniels, the porn star suing President Trump, claims that she has faced physical thr… https://t.co/oNxMMvlCSN",-0.2732,0.0,0.104,0.896,63
63,CNN,A resolution denouncing white supremacists didn't even make it out of committee in Tennessee https://t.co/NVO8py3uqp https://t.co/XbUVFWSEjv,-0.25,0.0,0.125,0.875,64
64,CNN,The House playing field just keeps tipping toward Democrats | Analysis by @CillizzaCNN https://t.co/Kt6QUEayD1 https://t.co/hudnGgf9fo,0.2023,0.122,0.0,0.878,65
65,CNN,A custodian at a school in South Carolina stole $180 from students' book bags while they participated in the Nation… https://t.co/c79XGvYYbO,0.0,0.0,0.0,1.0,66
66,CNN,"The school attended by President Trump's youngest son, Barron Trump, joined an open letter demanding the President… https://t.co/rORRBenjYY",-0.2263,0.0,0.101,0.899,67
67,CNN,"Felix Sater, the Russian-born onetime business associate of Donald Trump, says the then-business magnate asked him… https://t.co/gGWElySsmZ",0.0,0.0,0.0,1.0,68
68,CNN,"JUST IN: New York Democratic Rep. Louise Slaughter has died following injuries sustained from a fall, her office sa… https://t.co/ueOfLYQhfx",-0.5574,0.0,0.167,0.833,69
69,CNN,All 7 US military members on board a helicopter that crashed Thursday in western Iraq near the Syrian border were k… https://t.co/xZAkLupT80,0.0,0.0,0.0,1.0,70
70,CNN,"People thought they were donating to wounded veterans. Prosecutors say that $150,000+ was used by con artists for d… https://t.co/6n3niekm7A",0.0,0.0,0.0,1.0,71
71,CNN,"President Trump accused Japan of using a ""bowling ball test"" to cheat US auto companies out of selling cars to Japa… https://t.co/g7fuNcbxuz",-0.6369,0.0,0.215,0.785,72
72,CNN,The dog mistakenly flown to Japan by United has made it home to his family https://t.co/fNfieU1Spk https://t.co/OqrhWE9MhA,0.1531,0.14,0.11,0.75,73
73,CNN,President Trump's very public embarrassment of H.R. McMaster | Analysis by @CillizzaCNN https://t.co/u6nZI5sW7E https://t.co/YEhEckAIon,-0.4902,0.0,0.209,0.791,74
74,CNN,"UK's top diplomat Boris Johnson says it is ""overwhelmingly likely"" that Russian President Vladimir Putin personally… https://t.co/7WGhgRj2F5",0.0772,0.098,0.082,0.82,75
75,CNN,Juul e-cigarettes are high-nicotine devices that closely resemble flash drives. They've become a sensation among te… https://t.co/euzXECViJN,0.0,0.0,0.0,1.0,76
76,CNN,"Five women who say Bill Cosby sexually assaulted them will be allowed to testify in his retrial, a Pennsylvania jud… https://t.co/WW5St1BFvv",-0.5267,0.0,0.152,0.848,77
77,CNN,"The lawyer representing Stormy Daniels, the porn star suing President Trump, claims that she has faced physical thr… https://t.co/NCDhtrThPZ",-0.2732,0.0,0.104,0.896,78
78,CNN,"Meghan McCain to Liz Cheney: ""My father doesn't need torture explained to him"" https://t.co/Io1CKypvPU https://t.co/zuyY5vtAql",0.4847,0.183,0.0,0.817,79
79,CNN,"If President Vladimir Putin's aim was to become the most incendiary, corrosive influence on American politics, he s… https://t.co/LJPJVT2xtr",0.0,0.0,0.0,1.0,80
80,CNN,Nearly two-thirds of Americans are concerned they can no longer distinguish fake news from quality journalism online https://t.co/4oKzpWGGTX,-0.6486,0.0,0.249,0.751,81
81,CNN,#FactsFirst https://t.co/OkjhcHoE7M,0.0,0.0,0.0,1.0,82
